Query #,Binary euclidean - precision,Binary cosine - precision,Binary euclidean - recall,Binary cosine - recall,Binary euclidean - F-measure,Binary cosine - F-measure,TF euclidean - precision,TF cosine - precision,TF euclidean - recall,TF cosine - recall,TF euclidean - F-measure,TF cosine - F-measure,TF-IDF euclidean - precision,TF-IDF cosine - precision,TF-IDF euclidean - recall,TF-IDF cosine - recall,TF-IDF euclidean - F-measure,TF-IDF cosine - F-measure
66,0.0,0.06666666666666667,0.0,0.16666666666666666,0,0.09523809523809522,0.13333333333333333,0.2,0.3333333333333333,0.5,0.19047619047619044,0.28571428571428575,0.06666666666666667,0.06666666666666667,0.16666666666666666,0.16666666666666666,0.09523809523809522,0.09523809523809522
67,0.2,0.4,0.2,0.4,0.20000000000000004,0.4000000000000001,0.26666666666666666,0.4,0.26666666666666666,0.4,0.26666666666666666,0.4000000000000001,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333
68,0.0,0.0,0.0,0.0,0,0,0.06666666666666667,0.06666666666666667,0.16666666666666666,0.16666666666666666,0.09523809523809522,0.09523809523809522,0.06666666666666667,0.06666666666666667,0.16666666666666666,0.16666666666666666,0.09523809523809522,0.09523809523809522
69,0.0,0.0,0.0,0.0,0,0,0.13333333333333333,0.06666666666666667,0.3333333333333333,0.16666666666666666,0.19047619047619044,0.09523809523809522,0.0,0.0,0.0,0.0,0,0
70,0.0,0.06666666666666667,0.0,0.09090909090909091,0,0.07692307692307691,0.26666666666666666,0.26666666666666666,0.36363636363636365,0.36363636363636365,0.30769230769230765,0.30769230769230765,0.26666666666666666,0.26666666666666666,0.36363636363636365,0.36363636363636365,0.30769230769230765,0.30769230769230765
71,0.0,0.0,0.0,0.0,0,0,0.06666666666666667,0.0,0.1111111111111111,0.0,0.08333333333333334,0,0.13333333333333333,0.13333333333333333,0.2222222222222222,0.2222222222222222,0.16666666666666669,0.16666666666666669
72,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.06666666666666667,0.06666666666666667,0.05555555555555555,0.05555555555555555,0.0606060606060606,0.0606060606060606
73,0.0,0.2,0.0,0.14285714285714285,0,0.16666666666666666,0.26666666666666666,0.06666666666666667,0.19047619047619047,0.047619047619047616,0.2222222222222222,0.05555555555555555,0.4,0.4,0.2857142857142857,0.2857142857142857,0.3333333333333333,0.3333333333333333
74,0.0,0.0,0.0,0.0,0,0,0.06666666666666667,0.0,0.14285714285714285,0.0,0.09090909090909091,0,0.0,0.06666666666666667,0.0,0.14285714285714285,0,0.09090909090909091
75,0.06666666666666667,0.0,0.16666666666666666,0.0,0.09523809523809522,0,0.0,0.0,0.0,0.0,0,0,0.06666666666666667,0.13333333333333333,0.16666666666666666,0.3333333333333333,0.09523809523809522,0.19047619047619044
